,0,1,2,3,4,5,6
0,2014-05-03,54.6,0,19.3,13.1,8,765.3636364
1,2014-05-04,57.8,0.2,20.5,12.3,8.5,1821.363636
2,2014-05-05,56.5,0,15.5,11.3,6.8,21.27272727
3,2014-05-06,45.9,0,19,13.1,7.6,29.72727273
4,2014-05-07,48.3,2,22.3,15.7,8.7,27.45454545
5,2014-05-08,83.9,4,19.5,14.5,11.5,61.45454545
6,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
7,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
8,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
9,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
10,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
11,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
12,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
13,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
14,2014-05-17,48,0,26.2,20,14.3,57
15,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
16,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
17,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
18,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
19,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
20,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
21,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
22,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
23,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
24,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
25,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
26,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
27,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
28,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
29,2014-05-04,57.8,0.2,20.5,12.3,8.5,1821.363636
30,2014-05-05,56.5,0,15.5,11.3,6.8,21.27272727
31,2014-05-06,45.9,0,19,13.1,7.6,29.72727273
32,2014-05-07,48.3,2,22.3,15.7,8.7,27.45454545
33,2014-05-08,83.9,4,19.5,14.5,11.5,61.45454545
34,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
35,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
36,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
37,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
38,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
39,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
40,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
41,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
42,2014-05-17,48,0,26.2,20,14.3,57
43,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
44,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
45,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
46,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
47,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
48,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
49,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
50,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
51,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
52,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
53,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
54,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
55,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
56,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
57,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
58,2014-05-05,56.5,0,15.5,11.3,6.8,21.27272727
59,2014-05-06,45.9,0,19,13.1,7.6,29.72727273
60,2014-05-07,48.3,2,22.3,15.7,8.7,27.45454545
61,2014-05-08,83.9,4,19.5,14.5,11.5,61.45454545
62,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
63,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
64,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
65,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
66,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
67,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
68,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
69,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
70,2014-05-17,48,0,26.2,20,14.3,57
71,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
72,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
73,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
74,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
75,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
76,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
77,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
78,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
79,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
80,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
81,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
82,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
83,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
84,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
85,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
86,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
87,2014-05-06,45.9,0,19,13.1,7.6,29.72727273
88,2014-05-07,48.3,2,22.3,15.7,8.7,27.45454545
89,2014-05-08,83.9,4,19.5,14.5,11.5,61.45454545
90,2014-05-09,60.8,0,23.8,16.8,9.8,24.81818182
91,2014-05-10,43.4,0,28.3,20.5,12.9,33.27272727
92,2014-05-11,54.4,23,23.8,18.9,15.9,53.90909091
93,2014-05-12,79.1,10,20.4,16.4,13.6,19.90909091
94,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
95,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
96,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
97,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
98,2014-05-17,48,0,26.2,20,14.3,57
99,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
100,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
101,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
102,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
103,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
104,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
105,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
106,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
107,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
108,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
109,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
